file	total_chunks	vi_chunks	vi_pct	total_lines
0.0 - how-to-read-this-series.md	69	65	94.2	137
0.1 - lab-environment-setup.md	76	59	77.6	340
0.2 - end-to-end-packet-journey.md	110	76	69.1	460
0.3 - master-keyword-index.md	573	36	6.3	1153
1.0 - networking-industry-before-sdn.md	88	73	83.0	198
1.1 - data-center-pain-points.md	118	96	81.4	274
1.2 - five-drivers-why-sdn.md	125	92	73.6	264
10.0 - ovsdb-rfc7047-schema-transactions.md	251	82	32.7	877
10.1 - ovsdb-raft-clustering.md	197	71	36.0	642
10.2 - ovsdb-backup-restore-compact-rbac.md	41	15	36.6	231
10.3 - ovsdb-transaction-acid-semantics.md	114	81	71.1	355
10.4 - ovsdb-idl-monitor-cond-client.md	105	81	77.1	421
10.5 - ovsdb-performance-benchmarking.md	105	81	77.1	300
10.6 - ovsdb-security-mtls-rbac-advanced.md	180	145	80.6	545
10.7 - ovsdb-client-deep-playbook.md	147	78	53.1	589
11.0 - vxlan-geneve-stt.md	329	183	55.6	883
11.1 - overlay-mtu-pmtud-offload.md	160	51	31.9	517
11.2 - bgp-evpn-control-plane-overlay.md	151	54	35.8	408
11.3 - gre-tunnel-lab.md	181	108	59.7	742
11.4 - ipsec-tunnel-lab.md	207	119	57.5	871
12.0 - dc-network-topologies-clos-leaf-spine.md	49	13	26.5	143
12.1 - dc-overlay-integration-vxlan-evpn.md	51	18	35.3	178
12.2 - micro-segmentation-service-chaining.md	51	8	15.7	162
13.0 - ovn-announcement-2015-rationale.md	155	31	20.0	336
13.1 - ovn-nbdb-sbdb-architecture.md	619	340	54.9	1625
13.10 - ovn-dhcp-dns-native.md	154	67	43.5	492
13.11 - ovn-gateway-router-distributed.md	218	85	39.0	683
13.12 - ovn-ipam-native-dynamic-static.md	127	86	67.7	406
13.13 - ovs-to-ovn-migration-guide.md	148	105	70.9	403
13.14 - ovn-nbctl-sbctl-reference-playbook.md	390	243	62.3	1327
13.15 - ovn-interconnect-multi-region.md	297	143	48.1	836
13.16 - ovn-logical-pipeline-table-id-map.md	263	98	37.3	579
13.17 - ovn-register-conventions-regbit-mlf.md	301	182	60.5	795
13.18 - ovn-mlf-regbit-catalog.md	275	55	20.0	863
13.19 - ovn-pipeline-stage-catalog.md	1365	829	60.7	4310
13.2 - ovn-logical-switches-routers.md	415	214	51.6	1273
13.3 - ovn-acl-lb-nat-port-groups.md	647	374	57.8	1801
13.4 - br-int-architecture-and-patch-ports.md	180	76	42.2	565
13.5 - port-binding-types-ovn-native.md	547	338	61.8	1315
13.5b - port-binding-type-catalog.md	65	14	21.5	151
13.6 - ha-chassis-group-and-bfd.md	350	174	49.7	1021
13.7 - ovn-controller-internals.md	319	239	74.9	1018
13.8 - ovn-northd-translation.md	247	196	79.4	845
13.9 - ovn-load-balancer-internals.md	380	204	53.7	973
14.0 - p4-language-fundamentals.md	172	98	57.0	507
14.1 - tofino-pisa-silicon.md	164	79	48.2	356
14.2 - p4runtime-gnmi-integration.md	174	67	38.5	491
15.0 - service-mesh-integration.md	171	61	35.7	474
15.1 - ovn-kubernetes-cni-deep-dive.md	68	31	45.6	368
15.2 - cilium-ebpf-internals.md	67	31	46.3	248
16.0 - dpdk-afxdp-kernel-tuning.md	218	90	41.3	636
16.1 - dpdk-advanced-pmd-memory.md	163	63	38.7	434
16.2 - afxdp-xdp-programs.md	197	86	43.7	560
17.0 - ovn-l2-forwarding-and-fdb-poisoning.md	419	277	66.1	1196
18.0 - ovn-arp-responder-and-bum-suppression.md	196	127	64.8	499
19.0 - ovn-multichassis-binding-and-pmtud.md	417	260	62.4	1389
2.0 - dcan-open-signaling-gsmp.md	71	49	69.0	144
2.1 - ipsilon-and-active-networking.md	104	68	65.4	203
